date,type,state,district,property_type,properties
2024-07-01,overhang,Johor,All,all,3030
2024-07-01,overhang,Johor,All,cluster,287
2024-07-01,overhang,Johor,All,condominium,1499
2024-07-01,overhang,Johor,All,detached,58
2024-07-01,overhang,Johor,All,flat,0
2024-07-01,overhang,Johor,All,flat-lowcost,0
2024-07-01,overhang,Johor,All,house-lowcost,17
2024-07-01,overhang,Johor,All,semidetached-1-storey,82
2024-07-01,overhang,Johor,All,semidetached-2-3-storey,266
2024-07-01,overhang,Johor,All,terrace-1-storey,227
2024-07-01,overhang,Johor,All,terrace-2-3-storey,561
2024-07-01,overhang,Johor,All,townhouse,33
2024-07-01,unsold_not_constructed,Johor,All,all,612
2024-07-01,unsold_not_constructed,Johor,All,cluster,0
2024-07-01,unsold_not_constructed,Johor,All,condominium,0
2024-07-01,unsold_not_constructed,Johor,All,detached,58
2024-07-01,unsold_not_constructed,Johor,All,flat,0
2024-07-01,unsold_not_constructed,Johor,All,flat-lowcost,0
2024-07-01,unsold_not_constructed,Johor,All,house-lowcost,0
2024-07-01,unsold_not_constructed,Johor,All,semidetached-1-storey,8
2024-07-01,unsold_not_constructed,Johor,All,semidetached-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,All,terrace-1-storey,546
2024-07-01,unsold_not_constructed,Johor,All,terrace-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,All,townhouse,0
2024-07-01,unsold_under_construction,Johor,All,all,6210
2024-07-01,unsold_under_construction,Johor,All,cluster,839
2024-07-01,unsold_under_construction,Johor,All,condominium,290
2024-07-01,unsold_under_construction,Johor,All,detached,138
2024-07-01,unsold_under_construction,Johor,All,flat,0
2024-07-01,unsold_under_construction,Johor,All,flat-lowcost,10
2024-07-01,unsold_under_construction,Johor,All,house-lowcost,41
2024-07-01,unsold_under_construction,Johor,All,semidetached-1-storey,186
2024-07-01,unsold_under_construction,Johor,All,semidetached-2-3-storey,141
2024-07-01,unsold_under_construction,Johor,All,terrace-1-storey,1099
2024-07-01,unsold_under_construction,Johor,All,terrace-2-3-storey,3258
2024-07-01,unsold_under_construction,Johor,All,townhouse,208
2024-07-01,overhang,Johor,Batu Pahat,all,234
2024-07-01,overhang,Johor,Batu Pahat,cluster,0
2024-07-01,overhang,Johor,Batu Pahat,condominium,30
2024-07-01,overhang,Johor,Batu Pahat,detached,10
2024-07-01,overhang,Johor,Batu Pahat,flat,0
2024-07-01,overhang,Johor,Batu Pahat,flat-lowcost,0
2024-07-01,overhang,Johor,Batu Pahat,house-lowcost,0
2024-07-01,overhang,Johor,Batu Pahat,semidetached-1-storey,11
2024-07-01,overhang,Johor,Batu Pahat,semidetached-2-3-storey,33
2024-07-01,overhang,Johor,Batu Pahat,terrace-1-storey,112
2024-07-01,overhang,Johor,Batu Pahat,terrace-2-3-storey,38
2024-07-01,overhang,Johor,Batu Pahat,townhouse,0
2024-07-01,unsold_not_constructed,Johor,Batu Pahat,all,0
2024-07-01,unsold_not_constructed,Johor,Batu Pahat,cluster,0
2024-07-01,unsold_not_constructed,Johor,Batu Pahat,condominium,0
2024-07-01,unsold_not_constructed,Johor,Batu Pahat,detached,0
2024-07-01,unsold_not_constructed,Johor,Batu Pahat,flat,0
2024-07-01,unsold_not_constructed,Johor,Batu Pahat,flat-lowcost,0
2024-07-01,unsold_not_constructed,Johor,Batu Pahat,house-lowcost,0
2024-07-01,unsold_not_constructed,Johor,Batu Pahat,semidetached-1-storey,0
2024-07-01,unsold_not_constructed,Johor,Batu Pahat,semidetached-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,Batu Pahat,terrace-1-storey,0
2024-07-01,unsold_not_constructed,Johor,Batu Pahat,terrace-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,Batu Pahat,townhouse,0
2024-07-01,unsold_under_construction,Johor,Batu Pahat,all,554
2024-07-01,unsold_under_construction,Johor,Batu Pahat,cluster,0
2024-07-01,unsold_under_construction,Johor,Batu Pahat,condominium,42
2024-07-01,unsold_under_construction,Johor,Batu Pahat,detached,8
2024-07-01,unsold_under_construction,Johor,Batu Pahat,flat,0
